application_date,applicationid,board_decision_reason,computer_no_in_payslip,date_of_birth,designation,educational_district,educational_zone,email_address,fixed_deposit_amount,full_name,gender,identification,identification_details,identification_number,mobile_number,name_as_in_payroll,name_with_initials,nature_of_occupation,nic_number,nominee_address,nominee_full_name,nominee_relationship,office_telephone,permanent_private_address,preferred_language,private_telephone,rejoin_flag,salary_paying_office,scholarship_death_donation_pension_amount,share_account_amount,special_deposit_amount,status,title,working_location,working_location_address,working_location_type,submission_location
2026-01-12,APP-2026-001,,EMP10234,1988-04-17,Teacher Grade I,Colombo,Homagama,nimal.perera@edu.lk,25000,Nimal Rajapaksha Perera,MALE,NIC,,199812304567,0771234567,N R Perera,N.R. Perera,PERMANENT,199812304567,"No 45, Temple Road, Homagama",Kamala Perera,Spouse,0112745611,"No 45, Temple Road, Homagama",SINHALA,0112745699,false,Zonal Education Office - Homagama,1500,5000,10000,NEW,Mr,Homagama Maha Vidyalaya,"School Lane, Homagama",Government School,Colombo
2026-01-19,APP-2026-002,,EMP10877,1992-09-03,Teacher Grade II,Kandy,Gampola,sanduni.b@edu.lk,18000,Sanduni Bandara Ekanayake,FEMALE,NIC,,927451234V,0763345120,S B Ekanayake,S.B. Ekanayake,PERMANENT,927451234V,"No 12/A, Peradeniya Road, Gampola",Sunil Ekanayake,Father,0812352110,"No 12/A, Peradeniya Road, Gampola",SINHALA,0812352188,false,Zonal Education Office - Gampola,1500,5000,7500,SUBMITTED_FOR_APPROVAL,Mrs,Gampola Balika Vidyalaya,"Main Street, Gampola",Government School,Kandy
2026-02-02,APP-2026-003,,EMP11002,1985-12-22,Principal,Jaffna,Nallur,thevan.raj@edu.lk,40000,Thevan Rajendran,MALE,NIC,,198535609876,0771988456,T Rajendran,T. Rajendran,PERMANENT,198535609876,"No 8, Kandy Road, Nallur",Vasanthi Rajendran,Spouse,0212223344,"No 8, Kandy Road, Nallur",TAMIL,0212223399,false,Zonal Education Office - Jaffna,2500,10000,25000,ADDED_TO_BOARD_APPROVAL_LIST,Mr,Nallur Hindu College,"Point Pedro Road, Jaffna",National School,Jaffna
2026-02-14,APP-2026-004,Incomplete supporting documents,EMP11340,1995-06-08,Teacher Grade III,Galle,Elpitiya,dilini.w@edu.lk,12000,Dilini Wickramasinghe,FEMALE,NIC,,955901234V,0715567890,D Wickramasinghe,D. Wickramasinghe,PROBATION,955901234V,"No 33, Lake Road, Elpitiya",Ranjith Wickramasinghe,Father,0912291100,"No 33, Lake Road, Elpitiya",SINHALA,0912291155,false,Zonal Education Office - Elpitiya,1000,3000,5000,REJECTED,Miss,Elpitiya Central College,"College Road, Elpitiya",Government School,Galle
2026-02-28,APP-2026-005,,EMP11555,1979-03-30,Deputy Principal,Kurunegala,Kuliyapitiya,asela.g@edu.lk,55000,Asela Gunawardena,MALE,NIC,,791234567V,0777001122,A Gunawardena,A. Gunawardena,PERMANENT,791234567V,"No 101, Station Road, Kuliyapitiya",Nayana Gunawardena,Spouse,0372281100,"No 101, Station Road, Kuliyapitiya",SINHALA,0372281166,true,Zonal Education Office - Kuliyapitiya,3000,15000,40000,APPROVED,Mr,Kuliyapitiya Maha Vidyalaya,"Temple Road, Kuliyapitiya",National School,Kurunegala
2026-03-05,APP-2026-006,,EMP11890,1990-11-11,Teacher Grade I,Matara,Akuressa,harsha.s@edu.lk,22000,Harsha Samarasinghe,MALE,Passport,Passport issued 2021,N7788990,0729988776,H Samarasinghe,H. Samarasinghe,PERMANENT,901567890V,"No 7, Deniyaya Road, Akuressa",Malini Samarasinghe,Mother,0412283344,"No 7, Deniyaya Road, Akuressa",SINHALA,0412283399,false,Zonal Education Office - Akuressa,1500,5000,12000,NEW,Mr,Akuressa Maha Vidyalaya,"Matara Road, Akuressa",Government School,Matara
2026-03-16,APP-2026-007,,EMP12001,1998-07-25,Teacher Grade III,Batticaloa,Kaluwanchikudy,fathima.n@edu.lk,9000,Fathima Nasreen Mohamed,FEMALE,NIC,,199820512345,0768811223,F N Mohamed,F.N. Mohamed,TEMPORARY,199820512345,"No 22, Beach Road, Kaluwanchikudy",Ahamed Mohamed,Father,0652245566,"No 22, Beach Road, Kaluwanchikudy",TAMIL,0652245599,false,Zonal Education Office - Batticaloa,1000,2500,4000,SUBMITTED_FOR_APPROVAL,Miss,Kaluwanchikudy Central College,"Main Road, Kaluwanchikudy",Government School,Batticaloa
2026-03-29,APP-2026-008,,EMP12244,1983-01-19,Teacher Grade I,Anuradhapura,Kekirawa,ruwan.d@edu.lk,30000,Ruwan Dissanayake,MALE,NIC,,831902345V,0714455667,R Dissanayake,R. Dissanayake,PERMANENT,831902345V,"No 56, Dambulla Road, Kekirawa",Chamari Dissanayake,Spouse,0252264400,"No 56, Dambulla Road, Kekirawa",SINHALA,0252264455,false,Zonal Education Office - Kekirawa,2000,7500,20000,ADDED_TO_BOARD_APPROVAL_LIST,Mr,Kekirawa Central College,"School Road, Kekirawa",National School,Anuradhapura
2026-04-08,APP-2026-009,,EMP12490,1994-05-14,Instructor,Badulla,Bandarawela,kavindu.j@edu.lk,14000,Kavindu Jayasuriya,MALE,DrivingLicense,Licence B1234567,B1234567,0755566778,K Jayasuriya,K. Jayasuriya,CASUAL,941352345V,"No 18, Welimada Road, Bandarawela",Pradeep Jayasuriya,Brother,0572223311,"No 18, Welimada Road, Bandarawela",SINHALA,0572223366,false,Provincial Education Office - Uva,1000,2500,6000,NEW,Mr,Uva Provincial Education Office,"Badulla Road, Bandarawela",Other,Badulla
2026-04-21,APP-2026-010,,EMP12712,1987-08-02,Teacher Grade II,Ratnapura,Balangoda,nadeeka.p@edu.lk,26000,Nadeeka Priyadarshani,FEMALE,NIC,,875150987V,0783344556,N Priyadarshani,N. Priyadarshani,PERMANENT,875150987V,"No 91, Colombo Road, Balangoda",Sarath Priyadarshana,Spouse,0452287700,"No 91, Colombo Road, Balangoda",SINHALA,0452287755,true,Zonal Education Office - Balangoda,1500,5000,15000,APPROVED,Mrs,Balangoda Maha Vidyalaya,"Station Road, Balangoda",Government School,Ratnapura
